x,y
have a message for every,american
a message for every american,who
message for every american who,is
for every american who is,55
every american who is 55,or
american who is 55 or,older
who is 55 or older,do
is 55 or older do,not
55 or older do not,let
or older do not let,anyone
older do not let anyone,mislead
do not let anyone mislead,you
not let anyone mislead you,.
let anyone mislead you .,for
anyone mislead you . for,you
mislead you . for you,the
you . for you the,social
. for you the social,security
for you the social security,system
you the social security system,will
the social security system will,not
social security system will not,change
security system will not change,in
system will not change in,any
will not change in any,way
not change in any way,.
change in any way .,for
in any way . for,younger
any way . for younger,workers
way . for younger workers,the
. for younger workers the,social
for younger workers the social,security
younger workers the social security,system
workers the social security system,has
the social security system has,serious
social security system has serious,problems
security system has serious problems,that
system has serious problems that,will
has serious problems that will,grow
serious problems that will grow,worse
problems that will grow worse,with
that will grow worse with,time
will grow worse with time,.
grow worse with time .,social
worse with time . social,security
with time . social security,was
time . social security was,created
. social security was created,decades
social security was created decades,ago
security was created decades ago,for
was created decades ago for,a
created decades ago for a,very
decades ago for a very,different
ago for a very different,era
for a very different era,.
a very different era .,in
very different era . in,those
different era . in those,days
era . in those days,people
. in those days people,did
in those days people did,n't
those days people did n't,live
days people did n't live,as
people did n't live as,long
did n't live as long,benefits
n't live as long benefits,were
live as long benefits were,much
as long benefits were much,lower
long benefits were much lower,than
benefits were much lower than,they
were much lower than they,are
much lower than they are,today
lower than they are today,and
than they are today and,a
they are today and a,half
are today and a half,century
today and a half century,ago
and a half century ago,about
a half century ago about,16
half century ago about 16,workers
century ago about 16 workers,paid
ago about 16 workers paid,into
about 16 workers paid into,the
16 workers paid into the,system
workers paid into the system,for
paid into the system for,each
into the system for each,person
the system for each person,drawing
system for each person drawing,benefits
for each person drawing benefits,.
each person drawing benefits .,our
person drawing benefits . our,society
drawing benefits . our society,has
benefits . our society has,changed
. our society has changed,in
our society has changed in,ways
society has changed in ways,the
has changed in ways the,founders
changed in ways the founders,of
in ways the founders of,social
ways the founders of social,security
the founders of social security,could
founders of social security could,not
of social security could not,have
social security could not have,foreseen
security could not have foreseen,.
could not have foreseen .,in
not have foreseen . in,today
have foreseen . in today,'s
foreseen . in today 's,world
. in today 's world,people
in today 's world people,are
today 's world people are,living
's world people are living,longer
world people are living longer,and
people are living longer and,therefore
are living longer and therefore,drawing
living longer and therefore drawing,benefits
longer and therefore drawing benefits,longer—and
and therefore drawing benefits longer—and,those
therefore drawing benefits longer—and those,benefits
drawing benefits longer—and those benefits,are
benefits longer—and those benefits are,scheduled
longer—and those benefits are scheduled,to
those benefits are scheduled to,rise
benefits are scheduled to rise,dramatically
are scheduled to rise dramatically,over
scheduled to rise dramatically over,the
to rise dramatically over the,next
rise dramatically over the next,few
dramatically over the next few,decades
over the next few decades,.
the next few decades .,and
next few decades . and,instead
few decades . and instead,of
decades . and instead of,16
. and instead of 16,workers
and instead of 16 workers,paying
instead of 16 workers paying,in
of 16 workers paying in,for
16 workers paying in for,every
workers paying in for every,beneficiary
paying in for every beneficiary,right
in for every beneficiary right,now
for every beneficiary right now,it
every beneficiary right now it,'s
beneficiary right now it 's,only
right now it 's only,about
now it 's only about,three
it 's only about three,workers—and
's only about three workers—and,over
only about three workers—and over,the
about three workers—and over the,next
three workers—and over the next,few
workers—and over the next few,decades
over the next few decades,that
the next few decades that,number
next few decades that number,will
few decades that number will,fall
decades that number will fall,to
that number will fall to,just
number will fall to just,two
will fall to just two,workers
fall to just two workers,per
to just two workers per,beneficiary
just two workers per beneficiary,.
two workers per beneficiary .,with
workers per beneficiary . with,each
per beneficiary . with each,passing
beneficiary . with each passing,year
. with each passing year,fewer
with each passing year fewer,workers
each passing year fewer workers,are
passing year fewer workers are,paying
year fewer workers are paying,ever-higher
fewer workers are paying ever-higher,benefits
workers are paying ever-higher benefits,to
are paying ever-higher benefits to,an
paying ever-higher benefits to an,ever-larger
ever-higher benefits to an ever-larger,number
benefits to an ever-larger number,of
to an ever-larger number of,retirees
an ever-larger number of retirees,.
ever-larger number of retirees .,so
number of retirees . so,here
of retirees . so here,is
retirees . so here is,the
. so here is the,result
so here is the result,thirteen
here is the result thirteen,years
is the result thirteen years,from
the result thirteen years from,now
result thirteen years from now,in
thirteen years from now in,2018
years from now in 2018,social
from now in 2018 social,security
now in 2018 social security,will
in 2018 social security will,be
2018 social security will be,paying
social security will be paying,out
security will be paying out,more
will be paying out more,than
be paying out more than,it
paying out more than it,takes
out more than it takes,in
more than it takes in,.
than it takes in .,and
it takes in . and,every
takes in . and every,year
in . and every year,afterward
. and every year afterward,will
and every year afterward will,bring
every year afterward will bring,a
year afterward will bring a,new
afterward will bring a new,shortfall
will bring a new shortfall,bigger
bring a new shortfall bigger,than
a new shortfall bigger than,the
new shortfall bigger than the,year
shortfall bigger than the year,before
bigger than the year before,.
than the year before .,for
the year before . for,example
year before . for example,in
before . for example in,the
. for example in the,year
for example in the year,2027
example in the year 2027,the
in the year 2027 the,government
the year 2027 the government,will
year 2027 the government will,somehow
2027 the government will somehow,have
the government will somehow have,to
government will somehow have to,come
will somehow have to come,up
somehow have to come up,with
have to come up with,an
to come up with an,extra
come up with an extra,$
up with an extra $,200
with an extra $ 200,billion
an extra $ 200 billion,to
extra $ 200 billion to,keep
$ 200 billion to keep,the
200 billion to keep the,system
billion to keep the system,afloat—and
to keep the system afloat—and,by
keep the system afloat—and by,2033
the system afloat—and by 2033,the
system afloat—and by 2033 the,annual
afloat—and by 2033 the annual,shortfall
by 2033 the annual shortfall,would
2033 the annual shortfall would,be
the annual shortfall would be,more
annual shortfall would be more,than
shortfall would be more than,$
would be more than $,300
be more than $ 300,billion
more than $ 300 billion,.
than $ 300 billion .,by
$ 300 billion . by,the
300 billion . by the,year
billion . by the year,2042
. by the year 2042,the
by the year 2042 the,entire
the year 2042 the entire,system
year 2042 the entire system,would
2042 the entire system would,be
the entire system would be,exhausted
entire system would be exhausted,and
system would be exhausted and,bankrupt
would be exhausted and bankrupt,.
be exhausted and bankrupt .,if
exhausted and bankrupt . if,steps
and bankrupt . if steps,are
bankrupt . if steps are,not
. if steps are not,taken
if steps are not taken,to
steps are not taken to,avert
are not taken to avert,that
not taken to avert that,outcome
taken to avert that outcome,the
to avert that outcome the,only
avert that outcome the only,solutions
that outcome the only solutions,would
outcome the only solutions would,be
the only solutions would be,drastically
only solutions would be drastically,higher
solutions would be drastically higher,taxes
would be drastically higher taxes,massive
be drastically higher taxes massive,new
drastically higher taxes massive new,borrowing
higher taxes massive new borrowing,or
taxes massive new borrowing or,sudden
massive new borrowing or sudden,and
new borrowing or sudden and,severe
borrowing or sudden and severe,cuts
or sudden and severe cuts,in
sudden and severe cuts in,social
and severe cuts in social,security
severe cuts in social security,benefits
cuts in social security benefits,or
in social security benefits or,other
social security benefits or other,government
security benefits or other government,programs
benefits or other government programs,.
or other government programs .,i
other government programs . i,recognize
government programs . i recognize,that
programs . i recognize that,2018
. i recognize that 2018,and
i recognize that 2018 and,2042
recognize that 2018 and 2042,may
that 2018 and 2042 may,seem
2018 and 2042 may seem,like
and 2042 may seem like,a
2042 may seem like a,long
may seem like a long,way
seem like a long way,off
like a long way off,.
a long way off .,but
long way off . but,those
way off . but those,dates
off . but those dates,are
. but those dates are,not
but those dates are not,so
those dates are not so,distant
dates are not so distant,as
are not so distant as,any
not so distant as any,parent
so distant as any parent,will
distant as any parent will,tell
as any parent will tell,you
any parent will tell you,.
parent will tell you .,if
will tell you . if,you
tell you . if you,have
you . if you have,a
. if you have a,5-year-old
if you have a 5-year-old,you
you have a 5-year-old you,'re
have a 5-year-old you 're,already
a 5-year-old you 're already,concerned
5-year-old you 're already concerned,about
you 're already concerned about,how
're already concerned about how,you
already concerned about how you,'ll
concerned about how you 'll,pay
about how you 'll pay,for
how you 'll pay for,college
you 'll pay for college,tuition
'll pay for college tuition,13
pay for college tuition 13,years
for college tuition 13 years,down
college tuition 13 years down,the
tuition 13 years down the,road
13 years down the road,.
years down the road .,if
down the road . if,you
the road . if you,'ve
road . if you 've,got
. if you 've got,children
if you 've got children,in
you 've got children in,their
've got children in their,20s
got children in their 20s,as
children in their 20s as,some
in their 20s as some,of
their 20s as some of,us
20s as some of us,do
as some of us do,the
some of us do the,idea
of us do the idea,of
us do the idea of,social
do the idea of social,security
the idea of social security,collapsing
idea of social security collapsing,before
of social security collapsing before,they
social security collapsing before they,retire
security collapsing before they retire,does
collapsing before they retire does,not
before they retire does not,seem
they retire does not seem,like
retire does not seem like,a
does not seem like a,small
not seem like a small,matter
seem like a small matter,.
like a small matter .,and
a small matter . and,it
small matter . and it,should
matter . and it should,not
. and it should not,be
and it should not be,a
it should not be a,small
should not be a small,matter
not be a small matter,to
be a small matter to,the
a small matter to the,united
small matter to the united,states
matter to the united states,congress
to the united states congress,.
the united states congress .,you
united states congress . you,and
states congress . you and,i
congress . you and i,share
. you and i share,a
you and i share a,responsibility
and i share a responsibility,.
i share a responsibility .,we
share a responsibility . we,must
a responsibility . we must,pass
responsibility . we must pass,reforms
. we must pass reforms,that
we must pass reforms that,solve
must pass reforms that solve,the
pass reforms that solve the,financial
reforms that solve the financial,problems
that solve the financial problems,of
solve the financial problems of,social
the financial problems of social,security
financial problems of social security,once
problems of social security once,and
of social security once and,for
social security once and for,all
security once and for all,.
once and for all .,fixing
and for all . fixing,social
for all . fixing social,security
all . fixing social security,permanently
. fixing social security permanently,will
fixing social security permanently will,require
social security permanently will require,an
security permanently will require an,open
permanently will require an open,candid
will require an open candid,review
require an open candid review,of
an open candid review of,the
open candid review of the,options
candid review of the options,.
review of the options .,some
of the options . some,have
the options . some have,suggested
options . some have suggested,limiting
. some have suggested limiting,benefits
some have suggested limiting benefits,for
have suggested limiting benefits for,wealthy
suggested limiting benefits for wealthy,retirees
limiting benefits for wealthy retirees,.
benefits for wealthy retirees .,former
for wealthy retirees . former,congressman
wealthy retirees . former congressman,tim
retirees . former congressman tim,penny
. former congressman tim penny,has
former congressman tim penny has,raised
congressman tim penny has raised,the
tim penny has raised the,possibility
penny has raised the possibility,of
has raised the possibility of,indexing
raised the possibility of indexing,benefits
the possibility of indexing benefits,to
possibility of indexing benefits to,prices
of indexing benefits to prices,rather
indexing benefits to prices rather,than
benefits to prices rather than,wages
to prices rather than wages,.
prices rather than wages .,during
rather than wages . during,the
than wages . during the,1990s
wages . during the 1990s,my
. during the 1990s my,predecessor
during the 1990s my predecessor,president
the 1990s my predecessor president,clinton
1990s my predecessor president clinton,spoke
my predecessor president clinton spoke,of
predecessor president clinton spoke of,increasing
president clinton spoke of increasing,the
clinton spoke of increasing the,retirement
spoke of increasing the retirement,age
of increasing the retirement age,.
increasing the retirement age .,former
the retirement age . former,senator
retirement age . former senator,john
age . former senator john,breaux
. former senator john breaux,suggested
former senator john breaux suggested,discouraging
senator john breaux suggested discouraging,early
john breaux suggested discouraging early,collection
breaux suggested discouraging early collection,of
suggested discouraging early collection of,social
discouraging early collection of social,security
early collection of social security,benefits
collection of social security benefits,.
of social security benefits .,the
social security benefits . the,late
security benefits . the late,senator
benefits . the late senator,daniel
. the late senator daniel,patrick
the late senator daniel patrick,moynihan
late senator daniel patrick moynihan,recommended
senator daniel patrick moynihan recommended,changing
daniel patrick moynihan recommended changing,the
patrick moynihan recommended changing the,way
moynihan recommended changing the way,benefits
recommended changing the way benefits,are
changing the way benefits are,calculated
the way benefits are calculated,.
way benefits are calculated .,all
benefits are calculated . all,these
are calculated . all these,ideas
calculated . all these ideas,are
. all these ideas are,on
all these ideas are on,the
these ideas are on the,table
ideas are on the table,.
are on the table .,i
on the table . i,know
the table . i know,that
table . i know that,none
. i know that none,of
i know that none of,these
know that none of these,reforms
that none of these reforms,would
none of these reforms would,be
of these reforms would be,easy
these reforms would be easy,.
reforms would be easy .,but
would be easy . but,we
be easy . but we,have
easy . but we have,to
. but we have to,move
but we have to move,ahead
we have to move ahead,with
have to move ahead with,courage
to move ahead with courage,and
move ahead with courage and,honesty
ahead with courage and honesty,because
with courage and honesty because,our
courage and honesty because our,children
and honesty because our children,'s
honesty because our children 's,retirement
because our children 's retirement,security
our children 's retirement security,is
children 's retirement security is,more
's retirement security is more,important
retirement security is more important,than
security is more important than,partisan
is more important than partisan,politics
more important than partisan politics,.
important than partisan politics .,i
than partisan politics . i,will
partisan politics . i will,work
politics . i will work,with
. i will work with,members
i will work with members,of
will work with members of,congress
work with members of congress,to
with members of congress to,find
members of congress to find,the
of congress to find the,most
congress to find the most,effective
to find the most effective,combination
find the most effective combination,of
the most effective combination of,reforms
most effective combination of reforms,.
effective combination of reforms .,i
combination of reforms . i,will
of reforms . i will,listen
reforms . i will listen,to
. i will listen to,anyone
i will listen to anyone,who
will listen to anyone who,has
listen to anyone who has,a
to anyone who has a,good
anyone who has a good,idea
who has a good idea,to
has a good idea to,offer
a good idea to offer,.
good idea to offer .,we
idea to offer . we,must
to offer . we must,however
offer . we must however,be
. we must however be,guided
we must however be guided,by
must however be guided by,some
however be guided by some,basic
be guided by some basic,principles
guided by some basic principles,.
by some basic principles .,we
some basic principles . we,must
basic principles . we must,make
principles . we must make,social
. we must make social,security
we must make social security,permanently
must make social security permanently,sound
make social security permanently sound,not
social security permanently sound not,leave
security permanently sound not leave,that
permanently sound not leave that,task
sound not leave that task,for
not leave that task for,another
leave that task for another,day
that task for another day,.
task for another day .,we
for another day . we,must
another day . we must,not
day . we must not,jeopardize
. we must not jeopardize,our
we must not jeopardize our,economic
must not jeopardize our economic,strength
not jeopardize our economic strength,by
jeopardize our economic strength by,increasing
our economic strength by increasing,payroll
economic strength by increasing payroll,taxes
strength by increasing payroll taxes,.
by increasing payroll taxes .,we
increasing payroll taxes . we,must
payroll taxes . we must,ensure
taxes . we must ensure,that
. we must ensure that,lower
we must ensure that lower,income
must ensure that lower income,americans
ensure that lower income americans,get
that lower income americans get,the
lower income americans get the,help
income americans get the help,they
americans get the help they,need
get the help they need,to
the help they need to,have
help they need to have,dignity
they need to have dignity,and
need to have dignity and,peace
to have dignity and peace,of
have dignity and peace of,mind
dignity and peace of mind,in
and peace of mind in,their
peace of mind in their,retirement
of mind in their retirement,.
mind in their retirement .,we
in their retirement . we,must
their retirement . we must,guarantee
retirement . we must guarantee,that
. we must guarantee that,there
we must guarantee that there,is
must guarantee that there is,no
guarantee that there is no,change
that there is no change,for
there is no change for,those
is no change for those,now
no change for those now,retired
change for those now retired,or
for those now retired or,nearing
those now retired or nearing,retirement
now retired or nearing retirement,.
retired or nearing retirement .,and
or nearing retirement . and,we
nearing retirement . and we,must
retirement . and we must,take
. and we must take,care
and we must take care,that
we must take care that,any
must take care that any,changes
take care that any changes,in
care that any changes in,the
that any changes in the,system
any changes in the system,are
changes in the system are,gradual
in the system are gradual,so
the system are gradual so,younger
system are gradual so younger,workers
are gradual so younger workers,have
gradual so younger workers have,years
so younger workers have years,to
younger workers have years to,prepare
workers have years to prepare,and
have years to prepare and,plan
years to prepare and plan,for
to prepare and plan for,their
prepare and plan for their,future
and plan for their future,.
plan for their future .,as
for their future . as,we
their future . as we,fix
future . as we fix,social
. as we fix social,security
as we fix social security,we
we fix social security we,also
fix social security we also,have
social security we also have,the
security we also have the,responsibility
we also have the responsibility,to
also have the responsibility to,make
have the responsibility to make,the
the responsibility to make the,system
responsibility to make the system,a
to make the system a,better
make the system a better,deal
the system a better deal,for
system a better deal for,younger
a better deal for younger,workers
better deal for younger workers,.
deal for younger workers .,and
for younger workers . and,the
younger workers . and the,best
workers . and the best,way
. and the best way,to
and the best way to,reach
the best way to reach,that
best way to reach that,goal
way to reach that goal,is
to reach that goal is,through
reach that goal is through,voluntary
that goal is through voluntary,personal
goal is through voluntary personal,retirement
is through voluntary personal retirement,accounts
through voluntary personal retirement accounts,.
voluntary personal retirement accounts .,here
personal retirement accounts . here,is
retirement accounts . here is,how
accounts . here is how,the
. here is how the,idea
here is how the idea,works
is how the idea works,.
how the idea works .,right
the idea works . right,now
idea works . right now,a
works . right now a,set
. right now a set,portion
right now a set portion,of
now a set portion of,the
a set portion of the,money
set portion of the money,you
portion of the money you,earn
of the money you earn,is
the money you earn is,taken
money you earn is taken,out
you earn is taken out,of
earn is taken out of,your
is taken out of your,paycheck
taken out of your paycheck,to
out of your paycheck to,pay
of your paycheck to pay,for
your paycheck to pay for,the
paycheck to pay for the,social
to pay for the social,security
pay for the social security,benefits
for the social security benefits,of
the social security benefits of,today
social security benefits of today,'s
security benefits of today 's,retirees
benefits of today 's retirees,.
of today 's retirees .,if
today 's retirees . if,you
's retirees . if you,are
retirees . if you are,a
. if you are a,younger
if you are a younger,worker
you are a younger worker,i
are a younger worker i,believe
a younger worker i believe,you
younger worker i believe you,should
worker i believe you should,be
i believe you should be,able
believe you should be able,to
you should be able to,set
should be able to set,aside
be able to set aside,part
able to set aside part,of
to set aside part of,that
set aside part of that,money
aside part of that money,in
part of that money in,your
of that money in your,own
that money in your own,retirement
money in your own retirement,account
in your own retirement account,so
your own retirement account so,you
own retirement account so you,can
retirement account so you can,build
account so you can build,a
so you can build a,nest
you can build a nest,egg
can build a nest egg,for
build a nest egg for,your
a nest egg for your,own
nest egg for your own,future
egg for your own future,.
for your own future .,here
your own future . here,is
own future . here is,why
future . here is why,personal
. here is why personal,accounts
here is why personal accounts,are
is why personal accounts are,a
why personal accounts are a,better
personal accounts are a better,deal
accounts are a better deal,.
are a better deal .,your
a better deal . your,money
better deal . your money,will
deal . your money will,grow
. your money will grow,over
your money will grow over,time
money will grow over time,at
will grow over time at,a
grow over time at a,greater
over time at a greater,rate
time at a greater rate,than
at a greater rate than,anything
a greater rate than anything,the
greater rate than anything the,current
rate than anything the current,system
than anything the current system,can
anything the current system can,deliver—and
the current system can deliver—and,your
current system can deliver—and your,account
system can deliver—and your account,will
can deliver—and your account will,provide
deliver—and your account will provide,money
your account will provide money,for
account will provide money for,retirement
will provide money for retirement,over
provide money for retirement over,and
money for retirement over and,above
for retirement over and above,the
retirement over and above the,check
over and above the check,you
and above the check you,will
above the check you will,receive
the check you will receive,from
check you will receive from,social
you will receive from social,security
will receive from social security,.
receive from social security .,in
from social security . in,addition
social security . in addition,you
security . in addition you,'ll
. in addition you 'll,be
in addition you 'll be,able
addition you 'll be able,to
you 'll be able to,pass
'll be able to pass,along
be able to pass along,the
able to pass along the,money
to pass along the money,that
pass along the money that,accumulates
along the money that accumulates,in
the money that accumulates in,your
money that accumulates in your,personal
that accumulates in your personal,account
accumulates in your personal account,if
in your personal account if,you
your personal account if you,wish
personal account if you wish,to
account if you wish to,your
if you wish to your,children
you wish to your children,or
wish to your children or,grandchildren
to your children or grandchildren,.
your children or grandchildren .,and
children or grandchildren . and,best
or grandchildren . and best,of
grandchildren . and best of,all
. and best of all,the
and best of all the,money
best of all the money,in
of all the money in,the
all the money in the,account
the money in the account,is
money in the account is,yours
in the account is yours,and
the account is yours and,the
account is yours and the,government
is yours and the government,can
yours and the government can,never
and the government can never,take
the government can never take,it
government can never take it,away
can never take it away,.
never take it away .,the
take it away . the,goal
it away . the goal,here
away . the goal here,is
. the goal here is,greater
the goal here is greater,security
goal here is greater security,in
here is greater security in,retirement
is greater security in retirement,so
greater security in retirement so,we
security in retirement so we,will
in retirement so we will,set
retirement so we will set,careful
so we will set careful,guidelines
we will set careful guidelines,for
will set careful guidelines for,personal
set careful guidelines for personal,accounts
careful guidelines for personal accounts,.
guidelines for personal accounts .,we
for personal accounts . we,will
personal accounts . we will,make
accounts . we will make,sure
. we will make sure,the
we will make sure the,money
will make sure the money,can
make sure the money can,only
sure the money can only,go
the money can only go,into
money can only go into,a
can only go into a,conservative
only go into a conservative,mix
go into a conservative mix,of
into a conservative mix of,bonds
a conservative mix of bonds,and
conservative mix of bonds and,stock
mix of bonds and stock,funds
of bonds and stock funds,.
bonds and stock funds .,we
and stock funds . we,will
stock funds . we will,make
funds . we will make,sure
. we will make sure,that
we will make sure that,your
will make sure that your,earnings
make sure that your earnings,are
sure that your earnings are,not
that your earnings are not,eaten
your earnings are not eaten,up
earnings are not eaten up,by
are not eaten up by,hidden
not eaten up by hidden,wall
eaten up by hidden wall,street
up by hidden wall street,fees
by hidden wall street fees,.
hidden wall street fees .,we
wall street fees . we,will
street fees . we will,make
fees . we will make,sure
. we will make sure,there
we will make sure there,are
will make sure there are,good
make sure there are good,options
sure there are good options,to
there are good options to,protect
are good options to protect,your
good options to protect your,investments
options to protect your investments,from
to protect your investments from,sudden
protect your investments from sudden,market
your investments from sudden market,swings
investments from sudden market swings,on
from sudden market swings on,the
sudden market swings on the,eve
market swings on the eve,of
swings on the eve of,your
on the eve of your,retirement
the eve of your retirement,.
eve of your retirement .,we
of your retirement . we,will
your retirement . we will,make
retirement . we will make,sure
. we will make sure,a
we will make sure a,personal
will make sure a personal,account
make sure a personal account,ca
sure a personal account ca,n't
a personal account ca n't,be
personal account ca n't be,emptied
account ca n't be emptied,out
ca n't be emptied out,all
n't be emptied out all,at
be emptied out all at,once
emptied out all at once,but
out all at once but,rather
all at once but rather,paid
at once but rather paid,out
once but rather paid out,over
but rather paid out over,time
rather paid out over time,as
paid out over time as,an
out over time as an,addition
over time as an addition,to
time as an addition to,traditional
as an addition to traditional,social
an addition to traditional social,security
addition to traditional social security,benefits
to traditional social security benefits,.
traditional social security benefits .,and
social security benefits . and,we
security benefits . and we,will
benefits . and we will,make
. and we will make,sure
and we will make sure,this
we will make sure this,plan
will make sure this plan,is
make sure this plan is,fiscally
sure this plan is fiscally,responsible
this plan is fiscally responsible,by
plan is fiscally responsible by,starting
is fiscally responsible by starting,personal
fiscally responsible by starting personal,retirement
responsible by starting personal retirement,accounts
by starting personal retirement accounts,gradually
starting personal retirement accounts gradually,and
personal retirement accounts gradually and,raising
retirement accounts gradually and raising,the
accounts gradually and raising the,yearly
gradually and raising the yearly,limits
and raising the yearly limits,on
raising the yearly limits on,contributions
the yearly limits on contributions,over
yearly limits on contributions over,time
limits on contributions over time,eventually
on contributions over time eventually,permitting
contributions over time eventually permitting,all
over time eventually permitting all,workers
time eventually permitting all workers,to
eventually permitting all workers to,set
permitting all workers to set,aside
all workers to set aside,four
workers to set aside four,percentage
to set aside four percentage,points
set aside four percentage points,of
aside four percentage points of,their
four percentage points of their,payroll
percentage points of their payroll,taxes
points of their payroll taxes,in
of their payroll taxes in,their
their payroll taxes in their,accounts
payroll taxes in their accounts,.
taxes in their accounts .,personal
in their accounts . personal,retirement
their accounts . personal retirement,accounts
accounts . personal retirement accounts,should
. personal retirement accounts should,be
personal retirement accounts should be,familiar
retirement accounts should be familiar,to
accounts should be familiar to,federal
should be familiar to federal,employees
be familiar to federal employees,because
familiar to federal employees because,you
to federal employees because you,already
federal employees because you already,have
employees because you already have,something
because you already have something,similar
you already have something similar,called
already have something similar called,the
have something similar called the,thrift
something similar called the thrift,savings
similar called the thrift savings,plan
called the thrift savings plan,which
the thrift savings plan which,lets
thrift savings plan which lets,workers
savings plan which lets workers,deposit
plan which lets workers deposit,a
which lets workers deposit a,portion
lets workers deposit a portion,of
workers deposit a portion of,their
deposit a portion of their,paychecks
a portion of their paychecks,into
portion of their paychecks into,any
of their paychecks into any,of
their paychecks into any of,five
paychecks into any of five,different
into any of five different,broadly
any of five different broadly,based
of five different broadly based,investment
five different broadly based investment,funds
different broadly based investment funds,.
broadly based investment funds .,it
based investment funds . it,is
investment funds . it is,time
funds . it is time,to
. it is time to,extend
it is time to extend,the
is time to extend the,same
time to extend the same,security
to extend the same security,and
extend the same security and,choice
the same security and choice,and
same security and choice and,ownership
security and choice and ownership,to
and choice and ownership to,young
choice and ownership to young,americans
and ownership to young americans,.
ownership to young americans .,our
to young americans . our,second
young americans . our second,great
americans . our second great,responsibility
. our second great responsibility,to
our second great responsibility to,our
second great responsibility to our,children
great responsibility to our children,and
responsibility to our children and,grandchildren
to our children and grandchildren,is
our children and grandchildren is,to
children and grandchildren is to,honor
and grandchildren is to honor,and
grandchildren is to honor and,to
is to honor and to,pass
to honor and to pass,along
honor and to pass along,the
and to pass along the,values
to pass along the values,that
pass along the values that,sustain
along the values that sustain,a
the values that sustain a,free
values that sustain a free,society
that sustain a free society,.
sustain a free society .,so
a free society . so,many
free society . so many,of
society . so many of,my
. so many of my,generation
so many of my generation,after
many of my generation after,a
of my generation after a,long
my generation after a long,journey
generation after a long journey,have
after a long journey have,come
a long journey have come,home
long journey have come home,to
journey have come home to,family
have come home to family,and
come home to family and,faith
home to family and faith,and
to family and faith and,are
family and faith and are,determined
and faith and are determined,to
faith and are determined to,bring
and are determined to bring,up
are determined to bring up,responsible
determined to bring up responsible,moral
to bring up responsible moral,children
bring up responsible moral children,.
up responsible moral children .,government
responsible moral children . government,is
moral children . government is,not
children . government is not,the
. government is not the,source
government is not the source,of
is not the source of,these
not the source of these,values
the source of these values,but
source of these values but,government
of these values but government,should
these values but government should,never
values but government should never,undermine
but government should never undermine,them
government should never undermine them,.
should never undermine them .,because
never undermine them . because,marriage
undermine them . because marriage,is
them . because marriage is,a
. because marriage is a,sacred
because marriage is a sacred,institution
marriage is a sacred institution,and
is a sacred institution and,the
a sacred institution and the,foundation
sacred institution and the foundation,of
institution and the foundation of,society
and the foundation of society,it
the foundation of society it,should
foundation of society it should,not
of society it should not,be
society it should not be,re-defined
it should not be re-defined,by
should not be re-defined by,activist
not be re-defined by activist,judges
be re-defined by activist judges,.
re-defined by activist judges .,for
by activist judges . for,the
activist judges . for the,good
judges . for the good,of
. for the good of,families
for the good of families,children
the good of families children,and
good of families children and,society
of families children and society,i
families children and society i,support
children and society i support,a
and society i support a,constitutional
society i support a constitutional,amendment
i support a constitutional amendment,to
support a constitutional amendment to,protect
a constitutional amendment to protect,the
constitutional amendment to protect the,institution
amendment to protect the institution,of
to protect the institution of,marriage
protect the institution of marriage,.
the institution of marriage .,because
institution of marriage . because,a
of marriage . because a,society
marriage . because a society,is
. because a society is,measured
because a society is measured,by
a society is measured by,how
society is measured by how,it
is measured by how it,treats
measured by how it treats,the
by how it treats the,weak
how it treats the weak,and
it treats the weak and,vulnerable
treats the weak and vulnerable,we
the weak and vulnerable we,must
weak and vulnerable we must,strive
and vulnerable we must strive,to
vulnerable we must strive to,build
we must strive to build,a
must strive to build a,culture
strive to build a culture,of
to build a culture of,life
build a culture of life,.
a culture of life .,medical
culture of life . medical,research
of life . medical research,can
life . medical research can,help
. medical research can help,us
medical research can help us,reach
research can help us reach,that
can help us reach that,goal
help us reach that goal,by
us reach that goal by,developing
reach that goal by developing,treatments
that goal by developing treatments,and
goal by developing treatments and,cures
by developing treatments and cures,that
developing treatments and cures that,save
treatments and cures that save,lives
and cures that save lives,and
cures that save lives and,help
that save lives and help,people
save lives and help people,overcome
lives and help people overcome,disabilities—and
and help people overcome disabilities—and,i
help people overcome disabilities—and i,thank
people overcome disabilities—and i thank,congress
overcome disabilities—and i thank congress,for
disabilities—and i thank congress for,doubling
i thank congress for doubling,the
thank congress for doubling the,funding
congress for doubling the funding,of
for doubling the funding of,the
doubling the funding of the,national
the funding of the national,institutes
funding of the national institutes,of
of the national institutes of,health
the national institutes of health,.
national institutes of health .,to
institutes of health . to,build
of health . to build,a
health . to build a,culture
. to build a culture,of
to build a culture of,life
build a culture of life,we
a culture of life we,must
culture of life we must,also
of life we must also,ensure
life we must also ensure,that
we must also ensure that,scientific
must also ensure that scientific,advances
also ensure that scientific advances,always
ensure that scientific advances always,serve
that scientific advances always serve,human
scientific advances always serve human,dignity
advances always serve human dignity,not
always serve human dignity not,take
serve human dignity not take,advantage
human dignity not take advantage,of
dignity not take advantage of,some
not take advantage of some,lives
take advantage of some lives,for
advantage of some lives for,the
of some lives for the,benefit
some lives for the benefit,of
lives for the benefit of,others
for the benefit of others,.
the benefit of others .,we
benefit of others . we,should
of others . we should,all
others . we should all,be
. we should all be,able
we should all be able,to
should all be able to,agree
all be able to agree,on
be able to agree on,some
able to agree on some,clear
